LOCATION,INDICATOR,TIME,VALUE
CAN,QGDP,1985-Q1,1.51940209
CAN,QGDP,1985-Q2,0.318739387
CAN,QGDP,1985-Q3,1.268698772
CAN,QGDP,1985-Q4,1.534781494
CAN,QGDP,1986-Q1,-0.030061903
CAN,QGDP,1986-Q2,0.568484015
CAN,QGDP,1986-Q3,0.126214599
CAN,QGDP,1986-Q4,-0.722101968
CAN,QGDP,1987-Q1,2.307193327
CAN,QGDP,1987-Q2,1.291592995
CAN,QGDP,1987-Q3,1.522052283
CAN,QGDP,1987-Q4,1.291892412
CAN,QGDP,1988-Q1,1.457933086
CAN,QGDP,1988-Q2,0.885658372
CAN,QGDP,1988-Q3,0.009098695
CAN,QGDP,1988-Q4,0.697440592
CAN,QGDP,1989-Q1,1.14072018
CAN,QGDP,1989-Q2,0.382183085
CAN,QGDP,1989-Q3,0.357792585
CAN,QGDP,1989-Q4,-0.213453123
CAN,QGDP,1990-Q1,0.942760141
CAN,QGDP,1990-Q2,-0.41411306
CAN,QGDP,1990-Q3,-0.707548459
CAN,QGDP,1990-Q4,-0.891196884
CAN,QGDP,1991-Q1,-1.427068555
CAN,QGDP,1991-Q2,0.466260689
CAN,QGDP,1991-Q3,0.133908241
CAN,QGDP,1991-Q4,0.184531308
CAN,QGDP,1992-Q1,0.072893567
CAN,QGDP,1992-Q2,0.122114907
CAN,QGDP,1992-Q3,0.53698518
CAN,QGDP,1992-Q4,0.568910538
CAN,QGDP,1993-Q1,0.639946265
CAN,QGDP,1993-Q2,0.910433228
CAN,QGDP,1993-Q3,0.953047096
CAN,QGDP,1993-Q4,0.431683602
CAN,QGDP,1994-Q1,1.473568699
CAN,QGDP,1994-Q2,1.461328599
CAN,QGDP,1994-Q3,1.278408105
CAN,QGDP,1994-Q4,0.729647389
CAN,QGDP,1995-Q1,0.929487425
CAN,QGDP,1995-Q2,0.040377509
CAN,QGDP,1995-Q3,0.131784833
CAN,QGDP,1995-Q4,0.409812959
CAN,QGDP,1996-Q1,0.06880559
CAN,QGDP,1996-Q2,0.696292748
CAN,QGDP,1996-Q3,0.863973279
CAN,QGDP,1996-Q4,0.80536636
CAN,QGDP,1997-Q1,1.319174451
CAN,QGDP,1997-Q2,1.129631513
CAN,QGDP,1997-Q3,1.183433842
CAN,QGDP,1997-Q4,0.968322222
CAN,QGDP,1998-Q1,1.41241503
CAN,QGDP,1998-Q2,0.053398141
CAN,QGDP,1998-Q3,0.91021039
CAN,QGDP,1998-Q4,1.360670376
CAN,QGDP,1999-Q1,1.813816174
CAN,QGDP,1999-Q2,0.836544698
CAN,QGDP,1999-Q3,1.56467609
CAN,QGDP,1999-Q4,1.40669634
CAN,QGDP,2000-Q1,1.59973568
CAN,QGDP,2000-Q2,1.188584709
CAN,QGDP,2000-Q3,1.016981788
CAN,QGDP,2000-Q4,0.1712074
CAN,QGDP,2001-Q1,0.529651011
CAN,QGDP,2001-Q2,0.269490025
CAN,QGDP,2001-Q3,-0.066614244
CAN,QGDP,2001-Q4,0.608829247
CAN,QGDP,2002-Q1,1.484226046
CAN,QGDP,2002-Q2,0.589373312
CAN,QGDP,2002-Q3,0.86544944
CAN,QGDP,2002-Q4,0.548620905
CAN,QGDP,2003-Q1,0.553325235
CAN,QGDP,2003-Q2,-0.147463728
CAN,QGDP,2003-Q3,0.373654347
CAN,QGDP,2003-Q4,0.689959181
CAN,QGDP,2004-Q1,0.720267587
CAN,QGDP,2004-Q2,1.187819015
CAN,QGDP,2004-Q3,1.180435577
CAN,QGDP,2004-Q4,0.718426544
CAN,QGDP,2005-Q1,0.346066595
CAN,QGDP,2005-Q2,0.725522707
CAN,QGDP,2005-Q3,1.211374835
CAN,QGDP,2005-Q4,0.988734322
CAN,QGDP,2006-Q1,0.810995411
CAN,QGDP,2006-Q2,0.051646385
CAN,QGDP,2006-Q3,0.279245485
CAN,QGDP,2006-Q4,0.398598242
CAN,QGDP,2007-Q1,0.639626644
CAN,QGDP,2007-Q2,0.968907263
CAN,QGDP,2007-Q3,0.419854575
CAN,QGDP,2007-Q4,0.113617046
CAN,QGDP,2008-Q1,0.076640567
CAN,QGDP,2008-Q2,0.361671897
CAN,QGDP,2008-Q3,0.820044012
CAN,QGDP,2008-Q4,-1.159518489
CAN,QGDP,2009-Q1,-2.259686183
CAN,QGDP,2009-Q2,-1.091258596
CAN,QGDP,2009-Q3,0.44993852
CAN,QGDP,2009-Q4,1.166157024
CAN,QGDP,2010-Q1,1.206341487
CAN,QGDP,2010-Q2,0.523260909
CAN,QGDP,2010-Q3,0.708694922
CAN,QGDP,2010-Q4,1.117505154
CAN,QGDP,2011-Q1,0.755347044
CAN,QGDP,2011-Q2,0.19480651
CAN,QGDP,2011-Q3,1.379639562
CAN,QGDP,2011-Q4,0.78751324
CAN,QGDP,2012-Q1,0.064087343
CAN,QGDP,2012-Q2,0.326163737
CAN,QGDP,2012-Q3,0.136217106
CAN,QGDP,2012-Q4,0.20678147
CAN,QGDP,2013-Q1,0.897004855
CAN,QGDP,2013-Q2,0.580357191
CAN,QGDP,2013-Q3,0.814973402
CAN,QGDP,2013-Q4,1.050559545
CAN,QGDP,2014-Q1,0.163447761
CAN,QGDP,2014-Q2,0.913329104
CAN,QGDP,2014-Q3,0.959051308
CAN,QGDP,2014-Q4,0.691975668
CAN,QGDP,2015-Q1,-0.549519408
CAN,QGDP,2015-Q2,-0.272172083
CAN,QGDP,2015-Q3,0.353701829
CAN,QGDP,2015-Q4,0.074877376
CAN,QGDP,2016-Q1,0.54850084
CAN,QGDP,2016-Q2,-0.491711724
CAN,QGDP,2016-Q3,1.031213682
CAN,QGDP,2016-Q4,0.561483087
CAN,QGDP,2017-Q1,1.08691958
CAN,QGDP,2017-Q2,1.023044213
CAN,QGDP,2017-Q3,0.421873021
CAN,QGDP,2017-Q4,0.517990679
CAN,QGDP,2018-Q1,0.875239281
CAN,QGDP,2018-Q2,0.785105341
CAN,QGDP,2018-Q3,0.690122507
CAN,QGDP,2018-Q4,0.340869542
CAN,QGDP,2019-Q1,0.090640853
CAN,QGDP,2019-Q2,0.990737829
CAN,QGDP,2019-Q3,0.326642811
CAN,QGDP,2019-Q4,0.300683754
CAN,QGDP,2020-Q1,-2.157302609
CAN,QGDP,2020-Q2,-11.04253725
CAN,QGDP,2020-Q3,8.983958377
CAN,QGDP,2020-Q4,2.192421261
CAN,QGDP,2021-Q1,1.204702201
CAN,QGDP,2021-Q2,-0.798903494
CAN,QGDP,2021-Q3,1.335114906
CAN,QGDP,2021-Q4,1.600008023
FRA,QGDP,1970-Q2,1.262038455
FRA,QGDP,1970-Q3,1.377238609
FRA,QGDP,1970-Q4,1.570186063
FRA,QGDP,1971-Q1,0.129083296
FRA,QGDP,1971-Q2,1.821986785
FRA,QGDP,1971-Q3,1.630601407
FRA,QGDP,1971-Q4,0.856781066
FRA,QGDP,1972-Q1,1.309796145
FRA,QGDP,1972-Q2,0.38417729
FRA,QGDP,1972-Q3,0.887960161
FRA,QGDP,1972-Q4,1.660236385
FRA,QGDP,1973-Q1,1.99228223
FRA,QGDP,1973-Q2,1.080382169
FRA,QGDP,1973-Q3,0.858845143
FRA,QGDP,1973-Q4,1.278319135
FRA,QGDP,1974-Q1,0.959287031
FRA,QGDP,1974-Q2,0.500642661
FRA,QGDP,1974-Q3,0.943450926
FRA,QGDP,1974-Q4,-1.510183316
FRA,QGDP,1975-Q1,-0.44990402
FRA,QGDP,1975-Q2,0.252750122
FRA,QGDP,1975-Q3,0.38735228
FRA,QGDP,1975-Q4,1.350335463
FRA,QGDP,1976-Q1,1.467728516
FRA,QGDP,1976-Q2,1.192260978
FRA,QGDP,1976-Q3,0.472915631
FRA,QGDP,1976-Q4,1.245840306
FRA,QGDP,1977-Q1,1.105448055
FRA,QGDP,1977-Q2,0.434796121
FRA,QGDP,1977-Q3,0.458443057
FRA,QGDP,1977-Q4,0.228252482
FRA,QGDP,1978-Q1,1.389138596
FRA,QGDP,1978-Q2,1.662617478
FRA,QGDP,1978-Q3,-0.087958221
FRA,QGDP,1978-Q4,0.851110816
FRA,QGDP,1979-Q1,0.860055009
FRA,QGDP,1979-Q2,0.955992372
FRA,QGDP,1979-Q3,1.143098761
FRA,QGDP,1979-Q4,0.190206929
FRA,QGDP,1980-Q1,1.167721708
FRA,QGDP,1980-Q2,-0.55232668
FRA,QGDP,1980-Q3,-0.08916722
FRA,QGDP,1980-Q4,-0.13836713
FRA,QGDP,1981-Q1,0.446159495
FRA,QGDP,1981-Q2,0.652127432
FRA,QGDP,1981-Q3,0.642762921
FRA,QGDP,1981-Q4,0.498057813
FRA,QGDP,1982-Q1,0.871261907
FRA,QGDP,1982-Q2,0.642093386
FRA,QGDP,1982-Q3,0.062064547
FRA,QGDP,1982-Q4,0.537892582
FRA,QGDP,1983-Q1,0.540321805
FRA,QGDP,1983-Q2,-0.033650484
FRA,QGDP,1983-Q3,0.095375131
FRA,QGDP,1983-Q4,0.576321368
FRA,QGDP,1984-Q1,0.616618205
FRA,QGDP,1984-Q2,0.367182307
FRA,QGDP,1984-Q3,0.463547567
FRA,QGDP,1984-Q4,0.283695276
FRA,QGDP,1985-Q1,0.132424726
FRA,QGDP,1985-Q2,0.62746158
FRA,QGDP,1985-Q3,0.744101866
FRA,QGDP,1985-Q4,0.349782418
FRA,QGDP,1986-Q1,0.337808986
FRA,QGDP,1986-Q2,1.122554165
FRA,QGDP,1986-Q3,0.345092025
FRA,QGDP,1986-Q4,0.358506451
FRA,QGDP,1987-Q1,0.237118668
FRA,QGDP,1987-Q2,1.160862355
FRA,QGDP,1987-Q3,0.693897488
FRA,QGDP,1987-Q4,1.693836158
FRA,QGDP,1988-Q1,1.224398533
FRA,QGDP,1988-Q2,0.599640098
FRA,QGDP,1988-Q3,1.299868549
FRA,QGDP,1988-Q4,1.051116577
FRA,QGDP,1989-Q1,1.272987273
FRA,QGDP,1989-Q2,0.822081835
FRA,QGDP,1989-Q3,1.076994611
FRA,QGDP,1989-Q4,1.525535046
FRA,QGDP,1990-Q1,0.503873218
FRA,QGDP,1990-Q2,0.391898058
FRA,QGDP,1990-Q3,0.458811149
FRA,QGDP,1990-Q4,0.361656348
FRA,QGDP,1991-Q1,-0.143014301
FRA,QGDP,1991-Q2,0.286975658
FRA,QGDP,1991-Q3,0.294460446
FRA,QGDP,1991-Q4,0.4950257
FRA,QGDP,1992-Q1,0.981187048
FRA,QGDP,1992-Q2,-0.063443091
FRA,QGDP,1992-Q3,0.021073317
