LOCATION,TIME,VALUE
USA,1996,-3.499334334
USA,1997,-2.073761022
USA,1998,-0.910456098
USA,1999,-0.482206838
USA,2000,0.335568443
USA,2001,-1.847423754
USA,2002,-5.303192356
USA,2003,-6.414335854
USA,2004,-5.775042571
USA,2005,-4.447719825
USA,2006,-3.33341901
USA,2007,-3.979303421
USA,2008,-7.342536105
USA,2009,-13.09993067
USA,2010,-12.380009
USA,2011,-10.95599475
USA,2012,-9.187067713
USA,2013,-5.802407156
USA,2014,-5.187102248
USA,2015,-4.598510779
USA,2016,-5.403228417
USA,2017,-4.279615832
USA,2018,-6.147208048
USA,2019,-6.38134887
USA,2020,-15.30961226
